First Name,Last Name,Type,age
Lindsey,Moulden,M,20
Marcel,Herrell,M,18
Emmett,Agron,M,21
Elbert,Harber,M,19
Darwin,Desanti,M,22
Ellis,Mccusker,M,25
Amado,Danziger,M,25
Clarence,Drum,M,79
Chadwick,Faddis,M,24
Lucien,Moffett,M,25
Victor,Longino,M,18
Cody,Crete,M,21
Jere,Desiderio,M,21
Darrin,Fabre,M,27
Donnie,Berthold,M,19
Colby,Dimitri,M,18
Jarrod,Knecht,M,21
Leif,Moss,M,17
Rudolph,Solari,M,23
Ivory,Covarrubias,M,17
Anibal,Prettyman,M,18
Randy,Urbanek,M,22
Cortez,Araki,M,21
Nestor,Helms,M,23
Billie,Leib,M,20
Ruben,Ryce,M,19
Evan,Ratliff,M,18
Val,Salem,M,22
Normand,Mosely,M,21
Gustavo,Gerdes,M,19
Maximo,Soper,M,17
Rob,Abril,M,20
Burt,Deckard,M,18
Garland,Norby,M,26
Tobias,Shepard,M,30
Rafael,Spring,M,17
Alfredo,Petz,M,22
Jarvis,Sjoberg,M,25
Brice,Zucco,M,19
Kurt,Vogl,M,27
Keith,Predmore,M,21
Jess,Richie,M,22
Grant,Levins,M,22
Jerrell,Hatfield,M,19
Lucas,Haberkorn,M,20
Irving,Combest,M,20
Graham,Buttery,M,18
Kerry,Provost,M,19
Loyd,Akana,M,21
Lonnie,Rayford,M,19
Lindsey,Moulden,M,20
Marcel,Herrell,M,20
Emmett,Agron,M,19
Elbert,Harber,M,22
Darwin,Desanti,M,16
Ellis,Mccusker,M,21
Amado,Danziger,M,19
Clarence,Drum,M,25
Chadwick,Faddis,M,20
Lucien,Moffett,M,20
Victor,Longino,M,21
Cody,Crete,M,19
Jere,Desiderio,M,17
Darrin,Fabre,M,29
Donnie,Berthold,M,19
Colby,Dimitri,M,18
Jarrod,Knecht,M,24
Leif,Moss,M,24
Rudolph,Solari,M,20
Ivory,Covarrubias,M,18
Anibal,Prettyman,M,21
Randy,Urbanek,M,21
Cortez,Araki,M,21
Nestor,Helms,M,24
Billie,Leib,M,20
Ruben,Ryce,M,19
Evan,Ratliff,M,21
Val,Salem,M,23
Normand,Mosely,M,18
Gustavo,Gerdes,M,18
Maximo,Soper,M,19
Rob,Abril,M,22
Burt,Deckard,M,23
Garland,Norby,M,19
Tobias,Shepard,M,17
Rafael,Spring,M,21
Alfredo,Petz,M,19
Jarvis,Sjoberg,M,21
Brice,Zucco,M,19
Kurt,Vogl,M,28
Keith,Predmore,M,21
Jess,Richie,M,21
Grant,Levins,M,18
Jerrell,Hatfield,M,22
Lucas,Haberkorn,M,25
Irving,Combest,M,22
Graham,Buttery,M,20
Kerry,Provost,M,20
Loyd,Akana,M,21
Lonnie,Rayford,M,22
Johnsie,Accardo,F,18
